Unnamed: 0,Model,Length,Beam,Draft,Year,Type,Location,Asking,posted_at,Material,Hull_Type,Is_Mono,Is_Diesel,Motor_Type,Engine_Count,Is_Inboard,Year_Listed,Asking_Price_Adj
27,Catalina 350,36.5,13.0,4.6,2003,motorsailer,"Tampa Bay, Florida",96500.0,2016-01-06,fiberglass ,monohull,1,1,inboard,1,1,2016,108949.34314415832
29,Beneteau Oceanis 430,43.0,14.0,6.0,1986,cruiser,"Rome Italy, Outside United States",75000.0,2016-01-05,fiberglass ,monohull,1,1,inboard,1,1,2016,84675.65529338729
30,Morgan 383,38.0,12.0,5.0,1982,cruiser,"Beaufort, North Carolina",49900.0,2016-01-05,fiberglass ,monohull,1,1,inboard,1,1,2016,56337.53598853367
31,Dickerson Dickerson 36 Ketch,36.0,10.4,7.0,1973,cruiser,"Chula Vista, California",21900.0,2016-01-05,fiberglass ,monohull,1,1,inboard,1,1,2016,24725.291345669088
34,Cal 9.2,30.0,10.5,5.8,1982,racer,"Saxon Harbor, Wisconsin",11900.0,2016-01-03,fiberglass ,monohull,1,1,inboard,1,1,2016,13435.203973217447
36,Catalina 25 Swing keel shoal draft inboard diesel,25.0,8.0,5.0,1986,cruiser,"South Beach Miami, Florida",8500.0,2016-01-01,fiberglass ,monohull,1,1,inboard,1,1,2016,9596.574266583892
37,John Atkins Maytime,45.0,10.4,4.1,1979,cruiser,"Victoria, Outside United States",18500.0,2015-12-31,wood ,monohull,1,1,inboard,1,1,2015,21150.149567330616
38,Vanguard Laser,14.0,4.56,2.62,2004,daysailer,"SouthportFairfield, Connecticut",3200.0,2015-12-30,fiberglass ,monohull,1,0,motorless,0,0,2015,3658.404249484215
39,Morgan Yachts 36-5,36.0,11.83,6.67,1983,racer,"Guilford, Connecticut",37900.0,2015-12-29,fiberglass ,monohull,1,1,inboard,1,1,2015,43329.225329828674
40,Catalina 320,32.0,11.75,4.5,1998,cruiser,"Mandeville, Louisiana",54000.0,2015-12-29,fiberglass ,monohull,1,1,inboard,1,1,2015,61735.571710046126
42,Pearson ,28.0,9.3,5.0,1982,cruiser,"Raritan Bay, New Jersey",15500.0,2015-12-28,fiberglass ,monohull,1,1,inboard,1,1,2015,17720.395583439164
43,Hunter H34,34.0,11.6,4.3,1983,cruiser,"Fort Lauderdale, Florida",16000.0,2015-12-27,fiberglass ,monohull,1,1,inboard,1,1,2015,18292.02124742107
45,Hunter 25,25.0,9.0,4.5,1984,cruiser,"Miami, Florida",4500.0,2015-12-24,fiberglass ,monohull,1,0,outboard,1,0,2015,5144.630975837177
49,Catalina 30,30.0,11.0,5.3,1979,cruiser,"Port Aransas, Texas",10000.0,2015-12-19,fiberglass ,monohull,1,1,inboard,2,1,2015,11432.513279638171
50,Dufour Arpege,30.0,9.0,5.0,1972,cruiser,"Tortola British Virgin Islands, Outside United States",22000.0,2015-12-19,fiberglass ,monohull,1,1,inboard,1,1,2015,25151.529215203976
57,Tillotson Pearson J24,24.0,8.9,4.0,1988,racer,"Solomons, Maryland",10000.0,2015-12-13,fiberglass ,monohull,1,0,outboard,1,0,2015,11432.513279638171
58,Celestial 48' Celestial 48 Ketch,48.0,13.5,6.6,1985,cruiser,"Long Island, New York",120000.0,2015-12-11,fiberglass ,monohull,1,1,inboard,1,1,2015,137190.15935565805
59,Alberg 30,30.0,8.0,4.0,1965,racer,"Arnold, Maryland",10500.0,2015-12-09,fiberglass ,monohull,1,0,inboard,1,1,2015,12004.13894362008
61,Morgan 24/25,25.0,8.0,3.0,1968,daysailer,"Montgomery, Alabama",10000.0,2015-12-08,fiberglass ,monohull,1,0,outboard,1,0,2015,11432.513279638171
62,Jensen Cal 2-27,27.0,9.3,4.3,2015,cruiser,"Dana Point Harbor, California",19950.0,2015-12-07,fiberglass ,monohull,1,1,inboard,1,1,2015,22807.863992878152
64,CSY 44 Pilothouse,44.0,13.4,4.11,1981,cruiser,"Sint Maarten, Outside United States",75000.0,2015-12-06,fiberglass ,monohull,1,1,inboard,1,1,2015,85743.84959728629
66,Catalina Catalina 25 tall rig,25.0,8.0,4.0,1984,cruiser,"Nyack Boat Club, New York",6000.0,2015-12-05,fiberglass ,monohull,1,0,outboard,1,0,2015,6859.507967782903
67,Vanguard Laser,14.0,4.7,2.8,2007,racer,"Orlando, Florida",3100.0,2015-12-04,fiberglass ,monohull,1,0,motorless,0,0,2015,3544.079116687833
68,Seafarer 23,23.0,7.17,3.25,1978,cruiser,"Surf City, North Carolina",900.0,2015-12-04,fiberglass ,monohull,1,0,motorless,0,0,2015,1028.9261951674357
69,Columbia 8.7,28.0,10.0,4.0,1976,cruiser,"Sandpiper Marina Port ST Lucie, Florida",8000.0,2015-12-03,fiberglass ,monohull,1,1,inboard,1,1,2015,9146.010623710536
70,Beneteau FC-8,26.0,8.0,2.5,1985,racer,"Yorktown, Virginia",4500.0,2015-12-02,fiberglass ,monohull,1,0,outboard,1,0,2015,5144.630975837177
72,Laguna ,30.0,10.0,4.0,1986,cruiser,"Great Lakes Yaught Club St Clare Shores Michigan, Michigan",25000.0,2015-12-02,fiberglass ,monohull,1,1,inboard,1,1,2015,28581.28319909543
74,Westerly 31 longbow,31.0,10.0,4.5,1972,cruiser,"Palmetto, Florida",12000.0,2015-12-01,fiberglass ,monohull,1,1,inboard,1,1,2015,13719.015935565803
75,Macgregor ,25.5,7.92,5.67,1983,daysailer,"Savannah, Georgia",4500.0,2015-12-01,fiberglass ,monohull,1,0,outboard,1,0,2015,5144.630975837177
